DATE: 2022-04-03 01:03:49 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:09:03 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA140222DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:09:39 PM|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLA140222DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:09:39 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA140222DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:09:39 PM|Action: Appointment BookedSHEE121212 | Parameters: USER: sheserverQUEA1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:09:39 PM|Action: Appointment BookedSHEE121212 | Parameters: USER:SHEserverQUEA1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 02:09:59 PM|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLA140222DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:09:59 PM|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[SHEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:09:59 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA140222DENTAL][SHEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:10:39 PM|Action: Appointment CancelledMTLA140222 | Parameters: USER: MONserverQUEA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:16:17 PM|Action: Appointment not SwappedMTLA140222DENTALtoSHEN121212DENTAL | Parameters: USER: mtlserverQUEA1212/ oldAppointmentId: MTLA140222/ oldAppointmentType: DENTAL/ NewAppointmentId: SHEN121212/ newAppointmentType: SURGEON | Action Status: FAILED | Resonse: false
DATE: 2022-04-03 02:16:17 PM|Action: Sending request to mtl server for swapappointmentMTLA140222DENTALtoSHEN121212DENTAL | Parameters: USER: QUEservertomtlserverQUEA1212/ oldAppointmentId: MTLA140222/ oldAppointmentType: DENTAL/ NewAppointmentId: SHEN121212/ newAppointmentType: SURGEON | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:19:39 PM|Action: Appointment not SwappedQUEE121212PHYSICIANPHYSICIANtoQUEE121212PHYSICIAN | Parameters: USER: QUEserverQUEA1212/ oldAppointmentId: QUEE121212PHYSICIAN/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: QUEE121212/ newAppointmentType: PHYSICIAN | Action Status: FAILED | Resonse: false
DATE: 2022-04-03 02:20:21 PM|Action: Appointment not SwappedQUEE121212PHYSICIANtoSHEN121212PHYSICIAN | Parameters: USER: QUEserverQUEA1212/ oldAppointmentId: QUEE121212/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: SHEN121212/ newAppointmentType: SURGEON | Action Status: FAILED | Resonse: false
DATE: 2022-04-03 03:19:40 PM|Action: List of Appointments | Parameters: USER: MONserverQUEA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 03:19:40 PM|Action: List of Appointments | Parameters: USER: SHEserverQUEA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 03:19:40 PM|Action: List of Appointments | Parameters: USER: AllserverQUEA0000 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='9}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 03:20:42 PM|Action: Appointment BookedMTLA140222;Success | Parameters: USER: mtlserverQUEA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 03:20:42 PM|Action: Appointment BookedMTLA140222;Success | Parameters: USER:queserverQUEA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 03:20:57 PM|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLA140222DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:20:57 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA140222DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:21:36 PM|Action: Appointment CancelledMTLA140222 | Parameters: USER: MONserverQUEA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 03:38:01 PM|Action: List of Appointments | Parameters: USER: MONserverQUEA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 03:38:01 PM|Action: List of Appointments | Parameters: USER: SHEserverQUEA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 03:38:01 PM|Action: List of Appointments | Parameters: USER: AllserverQUEA0000 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='9}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 03:38:35 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:38:35 PM|Action: Appointment BookedSHEE121212 | Parameters: USER: sheserverQUEA1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 03:38:35 PM|Action: Appointment BookedSHEE121212 | Parameters: USER:SHEserverQUEA1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 03:39:00 PM|Action: Appointment CancelledSHEE121212 | Parameters: USER: SHEserverQUEA1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 03:39:00 PM|Action: Appointment BookedMTLN140222;Success | Parameters: USER: mtlserverQUEA1212/ AppointmentId: MTLN140222/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 03:39:00 PM|Action: Appointment SwappedSHEE121212PHYSICIANtoMTLN140222PHYSICIAN;Success | Parameters: USER: SHEserverTOmtlQUEA1212/ oldAppointmentId: SHEE121212/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: MTLN140222/ newAppointmentType: SURGEON | Action Status: Success | Resonse: true
DATE: 2022-04-03 03:39:00 PM|Action: Sending request to SHE server for swapappointmentSHEE121212PHYSICIANtoMTLN140222PHYSICIAN | Parameters: USER: SHEservertoQUEserverQUEA1212/ oldAppointmentId: SHEE121212/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: MTLN140222/ newAppointmentType: SURGEON | Action Status: Success | Resonse: true
DATE: 2022-04-03 03:39:37 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:39:47 PM|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLN140222SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:39:47 PM|Action: getAppointmentSchedule | Parameters: USER:mtlorqueserver[] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:39:47 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLN140222SURGEON][] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-04 01:58:00 PM|Action: addAppointmentQUEA0000|QUEA280322|SURGEON | Parameters: USER:MONserverQUEA0000/ AppointmentId: QUEA280322/ AppointmentType: SURGEON/ NumofAppointment: 6 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 01:58:49 PM|Action: List of Appointments | Parameters: USER: MONserverQUEA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-04 01:58:49 PM|Action: List of Appointments | Parameters: USER: SHEserverQUEA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-04 01:58:49 PM|Action: List of Appointments | Parameters: USER: AllserverQUEA0000 | Action Status: Success | Resonse: {PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEA280322=Appointment{Number of Appoinntment='6}, QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLM230322=Appointment{Number of Appoinntment='4}, MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}, MTLM240322=Appointment{Number of Appoinntment='6}}}{PHYSICIAN={SHEM250322=Appointment{Number of Appoinntment='10}, SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEE260322=Appointment{Number of Appoinntment='2}, SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
