Date:2022-04-02 04:11:50 PM|Action:Appointment BookedMTLM123456| Response:true
Date:2022-04-09 12:56:02 PM|Action:Appointment not BookedMTLA963741;Failed| Response:false
Date:2022-04-09 12:57:21 PM|Action:Appointment not BookedMTLM231022| Response:false
Date:2022-04-09 12:57:21 PM|Action:Appointment not BookedMTLE951620;Failed| Response:false
Date:2022-04-09 12:57:21 PM|Action:Appointment not BookedMTLE741052;Failed| Response:false
Date:2022-04-09 12:57:21 PM|Action:Appointment not BookedMTLA963741;Failed| Response:false
Date:2022-04-09 01:18:18 PM|Action:getAppointmentSchedule| Response:true
Date:2022-04-09 01:23:06 PM|Action:getAppointmentSchedule| Response:true
Date:2022-04-09 01:23:57 PM|Action:Appointment not BookedMTLE897654;Failed| Response:false
Date:2022-04-09 01:25:05 PM|Action:getAppointmentSchedule| Response:true
Date:2022-04-09 01:25:05 PM|Action:Appointment not BookedSHEE852010| Response:false
Date:2022-04-09 01:25:05 PM|Action:Appointment notBookedSHEE852010| Response:false
Date:2022-04-09 01:25:40 PM|Action:Appointment not BookedMTLM963741;Failed| Response:false
Date:2022-04-09 02:04:01 PM|Action:Appointment not BookedMTLM852010;Failed| Response:false
Date:2022-04-09 02:04:25 PM|Action:Appointment not BookedMTLA963741;Failed| Response:false
Date:2022-04-09 02:05:47 PM|Action:Appointment not BookedMTLA963741;Failed| Response:false
Date:2022-04-09 02:23:36 PM|Action:Appointment not BookedMTLM987654;Failed| Response:false
Date:2022-04-09 02:24:05 PM|Action:Appointment not BookedMTLE741052;Failed| Response:false
Date:2022-04-09 02:24:32 PM|Action:Appointment not BookedMTLE951620;Failed| Response:false
Date:2022-04-09 02:25:54 PM|Action:Appointment not BookedMTLM231022;Failed| Response:false
Date:2022-04-09 02:27:30 PM|Action:Appointment not BookedMTLM231022;Failed| Response:false
Date:2022-04-09 02:28:47 PM|Action:Appointment BookedMTLA111111;Success| Response:true
Date:2022-04-09 02:37:33 PM|Action:Appointment BookedMTLM231022;Success| Response:true
Date:2022-04-09 02:37:58 PM|Action:getAppointmentSchedule| Response:true
Date:2022-04-09 02:38:25 PM|Action:Appointment not BookedMTLA852010;Failed| Response:false
Date:2022-04-09 02:38:45 PM|Action:Appointment not BookedMTLE963741;Failed| Response:false
Date:2022-04-09 02:39:15 PM|Action:Appointment not BookedMTLE946120;Failed| Response:false
Date:2022-04-09 02:39:35 PM|Action:getAppointmentSchedule| Response:true
