DATE: 2022-04-02 05:28:56 PM|Action: addAppointmentSHEA0000|SHEM020422|PHYSICIAN | Parameters: USER:sheserverSHEA0000/ AppointmentId: SHEM020422/ AppointmentType: PHYSICIAN/ NumofAppointment: 5 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-02 05:29:15 PM|Action: List of Appointments | Parameters: USER: MONserverSHEA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-02 06:07:50 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-02 06:07:50 PM|Action: Appointment BookedMTLM020422;Success | Parameters: USER: mtlserverSHEP8520/ AppointmentId: MTLM020422/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 12:12:58 PM|Action: Appointment BookedSHEA121212 | Parameters: USER: sheserverSHEA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 12:13:22 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[SHEA121212DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 12:16:41 PM|Action: Appointment CancelledSHEA121212 | Parameters: USER: SHEserverSHEA1212/ AppointmentId: SHEA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 12:16:41 PM|Action: Appointment BookedMTLE140222;Success | Parameters: USER: mtlserverSHEA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 12:16:41 PM|Action: Appointment SwappedSHEA121212DENTALtoMTLE140222DENTAL | Parameters: USER: SHEserverTOmtlSHEA1212/ oldAppointmentId: SHEA121212/ oldAppointmentType: DENTAL/ NewAppointmentId: MTLE140222/ newAppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 12:18:21 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 12:18:43 PM|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 12:18:43 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN][] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:14:43 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:14:43 PM|Action: Appointment BookedQUEN121212;Success | Parameters: USER: mtlserverSHEA1212/ AppointmentId: QUEN121212/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:14:43 PM|Action: Appointment BookedQUEN121212 | Parameters: USER:queserverSHEA1212/ AppointmentId: QUEN121212/ AppointmentType: SURGEON/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 02:15:19 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:15:19 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[QUEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:15:19 PM|Action: Appointment BookedMTLA140222;Success | Parameters: USER: mtlserverSHEA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:15:19 PM|Action: Appointment BookedMTLA140222 | Parameters: USER:mtlserverSHEA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 02:15:29 PM|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLA140222DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:15:29 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:15:29 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA140222DENTAL][QUEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:16:45 PM|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[MTLA140222DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:16:45 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:16:45 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA140222DENTAL][QUEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:17:43 PM|Action: Appointment CancelledMTLA140222 | Parameters: USER: MONserverSHEA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:17:43 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEN121212SURGEON] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:17:43 PM|Action: Appointment BookedQUEE121212 | Parameters: USER: mtlserverSHEA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:17:43 PM|Action: Appointment SwappedMTLA140222DENTALtoQUEE121212DENTAL | Parameters: USER: MONservertoQUEserverSHEA1212/ oldAppointmentId: MTLA140222/ oldAppointmentType: DENTAL/ NewAppointmentId: QUEE121212/ newAppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:17:43 PM|Action: Sending request to mtl server for swapappointmentMTLA140222DENTALtoQUEE121212DENTAL | Parameters: USER: SHEservertomtlserverSHEA1212/ oldAppointmentId: MTLA140222/ oldAppointmentType: DENTAL/ NewAppointmentId: QUEE121212/ newAppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:18:16 PM|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:18:16 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEN121212SURGEON, QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:18:16 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[][QUEN121212SURGEON, QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:18:49 PM|Action: Appointment BookedSHEE121212 | Parameters: USER: sheserverSHEA1212/ AppointmentId: SHEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:18:58 PM|Action: getAppointmentSchedule | Parameters: USER:sheorqueserver[] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:18:58 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEN121212SURGEON, QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:18:58 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[][QUEN121212SURGEON, QUEE121212PHYSICIAN][SHEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:36:47 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 03:36:47 PM|Action: Appointment BookedQUEA121212;Success | Parameters: USER: mtlserverSHEA1111/ AppointmentId: QUEA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 03:36:47 PM|Action: Appointment BookedQUEA121212 | Parameters: USER:queserverSHEA1111/ AppointmentId: QUEA121212/ AppointmentType: DENTAL/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 03:37:14 PM|Action: Appointment CancelledQUEA121212;Success | Parameters: USER: QUEserverSHEA1111/ AppointmentId: QUEA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 03:37:14 PM|Action: Appointment BookedMTLE140222;Success | Parameters: USER: mtlserverSHEA1111/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 03:37:14 PM|Action: Appointment SwappedQUEA121212DENTALtoMTLE140222DENTAL;Success | Parameters: USER: QUEserverTOMTLserverSHEA1111/ oldAppointmentId: QUEA121212/ oldAppointmentType: DENTAL/ NewAppointmentId: MTLE140222/ newAppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 03:37:14 PM|Action: Sending request to que server for swapappointmentQUEA121212DENTALtoMTLE140222DENTAL;Success | Parameters: USER: MONservertoQUEserverSHEA1111/ oldAppointmentId: QUEA121212/ oldAppointmentType: DENTAL/ NewAppointmentId: MTLE140222/ newAppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-04 01:55:13 PM|Action: addAppointmentSHEA0000|SHEM250322|PHYSICIAN | Parameters: USER:sheserverSHEA0000/ AppointmentId: SHEM250322/ AppointmentType: PHYSICIAN/ NumofAppointment: 10 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 01:55:58 PM|Action: addAppointmentSHEA0000|SHEE260322|DENTAL | Parameters: USER:sheserverSHEA0000/ AppointmentId: SHEE260322/ AppointmentType: DENTAL/ NumofAppointment: 2 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-04 03:40:05 PM|Action: addAppointmentSHEA0000|SHEM232221|PHYSICIAN | Parameters: USER:sheserverSHEA0000/ AppointmentId: SHEM232221/ AppointmentType: PHYSICIAN/ NumofAppointment: 5 | Action Status: Success | Resonse: Appointment added
